"slope" "intercept"
-1.08684156296415 2.45739682209012
-1.08902501283271 2.46274336419185
-1.08206645772758 2.4613577279149
-1.10205079034122 2.45870362856098
-1.05129761782915 2.45609282762736
-1.07023261382006 2.45486898447952
-1.03670008477928 2.44714426317879
-1.08943924932309 2.45937154750078
-1.09687362712313 2.45853673077048
-1.08275013822302 2.46132127919561
-1.09771132062543 2.45941093042155
-1.06833045022203 2.4598382322142
-1.12262097285519 2.46543459163442
-1.06367688897023 2.45334596492565
-1.09196434018278 2.45592022266385
-1.06393292314293 2.4603274863075
-1.07948077597698 2.45620624302384
-1.0966907456143 2.45720289965529
-1.04991833143757 2.45328838240378
-1.08356725492204 2.45673647283788
-1.06421300628722 2.45349533529321
-1.10797093549637 2.45888189206984
-1.09124003801453 2.46109473683978
-1.0789856420003 2.45799593098707
-1.06456511175917 2.45384695004138
-1.06818880402264 2.4569146683053
-1.07624449496883 2.45918752319352
-1.06440873418046 2.45167834070811
-1.08673116670564 2.46113226585837
-1.10278539204742 2.45996465413164
-1.10728859322898 2.46098320078819
-1.06788298816976 2.45650980342335
-1.08539142491523 2.46028155325699
-1.05054401056839 2.45340366023199
-1.06076378309149 2.45375905296063
-1.08355519197442 2.46230881483289
-1.08167020082231 2.45862758370684
-1.09652989016268 2.45811583705871
-1.06576372034874 2.45365303702791
-1.09408368328785 2.46150686223417
-1.07386957634436 2.45467935756712
-1.07647281059722 2.45348910750384
-1.05779075057993 2.45327147777737
-1.08759884624813 2.45810464766801
-1.05596930852526 2.45364100173502
-1.07726985152662 2.45442474388325
-1.08940759320671 2.4608100750364
-1.10485365990679 2.46062757486138
-1.07645721319886 2.45667338834651
-1.0621283225118 2.4527755155668
-1.09668409524506 2.45665438895039
-1.06864323257053 2.45294799687465
-1.09344265303171 2.45854650273547
-1.11153622576501 2.46073485104787
-1.06942641731509 2.45778239443211
-1.07952267334486 2.46040759460917
-1.07758968990419 2.45631072055959
-1.10426361413233 2.46287575454948
-1.08157041223904 2.46216840831067
-1.07115138304187 2.45554165554412
-1.0933734803357 2.45649511742537
